Time,UNIX_time_ms,RSSI,RSSI2,RSSI3,Lux,Acc_x,Acc_y,Acc_z,Temperature,nodeId
2017-08-14 14:32:12.448,1502713932448,56,48,43,177,-1056,-42,106,2410,21
2017-08-14 14:32:12.469,1502713932469,53,61,36,149,-1047,-30,117,2465,22
2017-08-14 14:32:13.145,1502713933145,48,60,41,201,-1090,-59,153,2400,3
2017-08-14 14:32:13.165,1502713933165,60,51,43,177,-1077,-10,109,2424,4
2017-08-14 14:32:13.182,1502713933182,49,66,40,101,-1054,-47,117,2355,5
2017-08-14 14:32:13.200,1502713933200,64,52,39,98,-1094,-51,97,2362,6
2017-08-14 14:32:13.228,1502713933228,53,67,22,91,-1011,22,178,2375,7
2017-08-14 14:32:13.244,1502713933244,73,60,46,131,-1038,-18,78,2443,12
2017-08-14 14:32:13.262,1502713933262,59,63,42,108,-1085,-59,104,2437,10
2017-08-14 14:32:13.278,1502713933278,47,54,38,136,-1051,-54,78,2290,11
2017-08-14 14:32:13.367,1502713933367,63,55,48,170,-1055,-51,57,2398,14
2017-08-14 14:32:13.390,1502713933390,41,60,28,185,-1094,-37,126,2416,15
2017-08-14 14:32:13.407,1502713933407,52,62,34,147,-1104,-58,126,2376,17
2017-08-14 14:32:13.423,1502713933423,55,62,44,135,-1058,-44,125,2372,18
2017-08-14 14:32:13.441,1502713933441,61,37,47,207,-1039,54,71,2498,19
2017-08-14 14:32:13.489,1502713933489,53,56,40,121,-1072,4,125,2388,20
2017-08-14 14:32:13.507,1502713933507,57,49,43,177,-1055,-42,102,2417,21
2017-08-14 14:32:13.527,1502713933527,53,60,38,149,-1048,-33,125,2432,22
2017-08-14 14:32:14.207,1502713934207,48,60,40,200,-1088,-63,148,2380,3
2017-08-14 14:32:14.227,1502713934227,61,49,44,177,-1080,1,121,2444,4
2017-08-14 14:32:14.245,1502713934245,65,49,40,98,-1094,-50,101,2349,6
2017-08-14 14:32:14.289,1502713934289,54,67,32,91,-1013,28,180,2369,7
2017-08-14 14:32:14.317,1502713934317,73,59,46,131,-1035,-22,73,2443,12
2017-08-14 14:32:14.335,1502713934335,47,53,40,136,-1047,-52,77,2271,11
2017-08-14 14:32:14.354,1502713934354,58,63,47,108,-1087,-52,105,2463,10
2017-08-14 14:32:14.426,1502713934426,63,54,48,170,-1054,-54,53,2385,14
2017-08-14 14:32:14.450,1502713934450,40,59,32,184,-1099,-42,127,2397,15
2017-08-14 14:32:14.467,1502713934467,55,62,43,135,-1056,-38,134,2359,18
2017-08-14 14:32:14.484,1502713934484,53,62,38,147,-1107,-57,127,2402,17
2017-08-14 14:32:14.503,1502713934503,60,49,46,207,-1046,58,62,2505,19
2017-08-14 14:32:14.552,1502713934552,54,58,41,121,-1072,7,121,2356,20
2017-08-14 14:32:14.573,1502713934573,56,49,42,177,-1064,-42,98,2423,21
2017-08-14 14:32:14.590,1502713934590,54,60,37,149,-1055,-27,116,2432,22
2017-08-14 14:32:15.269,1502713935269,46,62,39,201,-1094,-59,150,2400,3
2017-08-14 14:32:15.288,1502713935288,61,50,42,178,-1078,-3,114,2431,4
2017-08-14 14:32:15.304,1502713935304,52,66,41,99,-1054,-52,117,2362,5
2017-08-14 14:32:15.322,1502713935322,65,53,40,98,-1094,-49,97,2349,6
2017-08-14 14:32:15.350,1502713935350,55,67,37,89,-1015,26,182,2356,7
2017-08-14 14:32:15.366,1502713935366,73,59,46,132,-1038,-18,73,2424,12
2017-08-14 14:32:15.383,1502713935383,58,62,46,106,-1087,-66,109,2444,10
2017-08-14 14:32:15.404,1502713935404,42,52,39,136,-1054,-51,77,2290,11
2017-08-14 14:32:15.488,1502713935488,63,53,49,171,-1055,-54,60,2392,14
2017-08-14 14:32:15.508,1502713935508,39,60,25,184,-1094,-43,127,2403,15
2017-08-14 14:32:15.524,1502713935524,52,63,39,146,-1102,-58,132,2402,17
2017-08-14 14:32:15.541,1502713935541,53,64,41,135,-1058,-38,129,2340,18
2017-08-14 14:32:15.562,1502713935562,60,47,44,208,-1042,61,66,2498,19
2017-08-14 14:32:15.612,1502713935612,52,57,42,121,-1071,4,125,2369,20
2017-08-14 14:32:15.629,1502713935629,57,52,42,177,-1058,-42,100,2391,21
2017-08-14 14:32:15.647,1502713935647,53,61,37,148,-1053,-34,130,2406,22
2017-08-14 14:32:16.328,1502713936328,47,61,40,198,-1090,-59,149,2393,3
2017-08-14 14:32:16.351,1502713936351,61,55,42,178,-1083,1,117,2431,4
2017-08-14 14:32:16.370,1502713936370,64,50,42,100,-1090,-51,108,2349,6
2017-08-14 14:32:16.387,1502713936387,55,65,44,97,-1054,-54,125,2336,5
2017-08-14 14:32:16.403,1502713936403,55,67,33,87,-1010,29,178,2375,7
2017-08-14 14:32:16.421,1502713936421,73,57,44,132,-1040,-18,69,2424,12
2017-08-14 14:32:16.442,1502713936442,59,63,46,102,-1086,-59,110,2437,10
2017-08-14 14:32:16.548,1502713936548,63,54,49,171,-1051,-52,61,2385,14
2017-08-14 14:32:16.572,1502713936572,40,59,31,183,-1094,-44,130,2397,15
2017-08-14 14:32:16.589,1502713936589,61,48,44,208,-1045,60,69,2498,19
2017-08-14 14:32:16.608,1502713936608,53,62,38,145,-1104,-59,137,2402,17
2017-08-14 14:32:16.626,1502713936626,53,63,43,134,-1059,-38,130,2366,18
2017-08-14 14:32:16.672,1502713936672,52,57,41,121,-1071,5,122,2369,20
2017-08-14 14:32:16.690,1502713936690,57,52,42,178,-1059,-41,102,2404,21
2017-08-14 14:32:16.709,1502713936709,54,61,39,148,-1051,-34,125,2439,22
2017-08-14 14:32:17.391,1502713937391,51,61,39,200,-1090,-59,149,2419,3
2017-08-14 14:32:17.412,1502713937412,60,48,42,178,-1075,-6,114,2431,4
2017-08-14 14:32:17.429,1502713937429,55,64,44,97,-1048,-55,124,2388,5
2017-08-14 14:32:17.446,1502713937446,65,51,41,100,-1095,-47,103,2349,6
2017-08-14 14:32:17.470,1502713937470,55,66,31,87,-1014,30,180,2369,7
2017-08-14 14:32:17.487,1502713937487,56,63,47,102,-1086,-65,101,2457,10
2017-08-14 14:32:17.506,1502713937506,73,60,46,132,-1038,-18,70,2443,12
2017-08-14 14:32:17.612,1502713937612,63,48,50,171,-1054,-51,58,2379,14
2017-08-14 14:32:17.630,1502713937630,47,60,25,184,-1094,-42,127,2397,15
2017-08-14 14:32:17.646,1502713937646,53,64,42,135,-1056,-38,125,2359,18
2017-08-14 14:32:17.663,1502713937663,52,61,38,146,-1102,-59,130,2402,17
2017-08-14 14:32:17.681,1502713937681,60,42,44,208,-1042,61,62,2531,19
2017-08-14 14:32:17.733,1502713937733,51,57,41,121,-1071,1,125,2375,20
2017-08-14 14:32:17.752,1502713937752,56,52,41,178,-1062,-42,98,2410,21
